id_transaction,id_client,date_transaction,montant,categorie,canal,satisfaction
T0059,C011,2024-12-01,115.00,Mode,Web,5
T0060,C011,2024-11-12,89.00,Mode,Web,4
T0061,C011,2024-10-25,142.00,Mode,Web,5
T0062,C011,2024-09-18,76.00,Beauté,Web,4
T0063,C011,2024-08-10,198.00,Mode,Web,5
T0064,C011,2024-07-24,55.00,Beauté,Web,5
T0065,C011,2024-06-17,168.00,Mode,Web,4
T0066,C011,2024-05-05,92.00,Mode,Web,5
T0067,C011,2024-03-22,133.00,Beauté,Web,4
T0068,C011,2024-02-08,87.00,Mode,Web,5
T0069,C012,2024-05-10,580.00,Maison,Email,3
T0070,C012,2023-11-22,420.00,Maison,Email,4
T0071,C012,2023-05-14,650.00,Maison,Email,3
T0072,C013,2021-12-10,95.00,Alimentaire,Magasin,3
T0073,C013,2021-06-08,78.00,Alimentaire,Magasin,4
T0074,C013,2020-11-25,112.00,Alimentaire,Magasin,3
T0075,C014,2024-11-28,380.00,Electronique,Web,4
T0076,C014,2024-10-10,120.00,Electronique,Web,5
T0077,C014,2024-08-22,550.00,Electronique,Web,4
T0078,C015,2024-10-05,195.00,Beauté,Web,5
T0079,C015,2024-07-18,148.00,Beauté,Web,4
T0080,C015,2024-04-30,220.00,Beauté,Web,5
T0081,C015,2024-01-22,165.00,Beauté,Web,4
T0082,C016,2024-09-14,285.00,Sport,Magasin,4
T0083,C016,2024-05-28,195.00,Sport,Magasin,3
T0084,C016,2024-02-10,310.00,Sport,Magasin,4
T0085,C017,2024-12-02,68.00,Mode,Web,5
T0086,C017,2024-11-14,52.00,Mode,Web,4
T0087,C017,2024-10-07,89.00,Beauté,Web,5
T0088,C017,2024-09-01,45.00,Mode,Web,4
T0089,C017,2024-07-25,73.00,Beauté,Web,5
T0090,C017,2024-06-18,58.00,Mode,Web,4
T0091,C018,2024-08-05,490.00,Maison,Email,3
T0092,C018,2023-12-18,380.00,Maison,Email,4
T0093,C018,2023-06-02,520.00,Maison,Email,3
T0094,C019,2024-11-08,142.00,Beauté,Web,5
T0095,C019,2024-09-22,98.00,Beauté,Web,4
T0096,C019,2024-07-15,175.00,Beauté,Web,5
T0097,C019,2024-05-08,120.00,Beauté,Web,4
T0098,C019,2024-02-28,155.00,Beauté,Web,5
T0099,C020,2024-06-20,920.00,Electronique,Magasin,4
T0100,C020,2024-01-15,1350.00,Electronique,Magasin,3
T0101,C020,2023-07-28,480.00,Electronique,Magasin,4
T0102,C021,2024-12-01,92.00,Mode,Web,5
T0103,C021,2024-11-05,78.00,Mode,Web,4
T0104,C021,2024-09-28,125.00,Mode,Web,5
T0105,C021,2024-08-15,65.00,Beauté,Web,4
T0106,C021,2024-07-08,108.00,Mode,Web,5
T0107,C021,2024-06-01,85.00,Mode,Web,4
T0108,C022,2023-04-12,145.00,Alimentaire,Email,3
T0109,C022,2022-10-05,122.00,Alimentaire,Email,4
T0110,C022,2022-04-18,168.00,Alimentaire,Email,3
T0111,C023,2024-10-20,185.00,Beauté,Web,5
T0112,C023,2024-08-05,142.00,Beauté,Web,4
T0113,C023,2024-05-22,220.00,Beauté,Web,5
T0114,C023,2024-02-14,165.00,Beauté,Web,4
T0115,C024,2024-03-18,425.00,Sport,Magasin,4
T0116,C024,2023-09-10,285.00,Sport,Magasin,3
T0117,C024,2023-02-22,510.00,Sport,Magasin,4
T0118,C025,2024-12-02,72.00,Mode,Web,5
T0119,C025,2024-11-18,55.00,Mode,Web,5
T0120,C025,2024-10-30,88.00,Beauté,Web,4
T0121,C025,2024-09-24,45.00,Mode,Web,5
T0122,C025,2024-08-17,67.00,Beauté,Web,4
T0123,C026,2024-05-25,750.00,Electronique,Magasin,3
T0124,C026,2023-11-08,480.00,Electronique,Magasin,4
T0125,C026,2023-04-20,1100.00,Electronique,Magasin,3
T0126,C027,2024-09-28,312.00,Maison,Web,4
T0127,C027,2024-05-14,245.00,Maison,Web,3
T0128,C027,2024-01-08,380.00,Maison,Web,4
T0129,C028,2024-11-22,195.00,Sport,Web,4
T0130,C028,2024-09-05,148.00,Sport,Web,5
T0131,C028,2024-06-18,225.00,Sport,Web,4
T0132,C028,2024-03-10,175.00,Sport,Web,4
T0133,C029,2022-08-15,155.00,Alimentaire,Email,3
T0134,C029,2022-02-22,132.00,Alimentaire,Email,4
T0135,C029,2021-09-10,178.00,Alimentaire,Email,3
T0136,C030,2024-12-01,680.00,Electronique,Web,4
T0137,C030,2024-10-15,420.00,Electronique,Web,5
T0138,C030,2024-08-28,880.00,Electronique,Web,4
T0139,C031,2024-11-25,168.00,Beauté,Web,5
T0140,C031,2024-10-10,142.00,Beauté,Web,4
T0141,C031,2024-08-22,195.00,Beauté,Web,5
T0142,C031,2024-07-08,125.00,Beauté,Web,4
T0143,C031,2024-05-30,178.00,Beauté,Web,5
T0144,C032,2024-08-14,485.00,Sport,Magasin,3
T0145,C032,2024-03-25,320.00,Sport,Magasin,4
T0146,C032,2023-10-18,540.00,Sport,Magasin,3
T0147,C032,2023-04-02,285.00,Sport,Magasin,4
T0148,C033,2024-07-20,520.00,Maison,Email,3
T0149,C033,2023-12-05,380.00,Maison,Email,4
T0150,C033,2023-05-18,640.00,Maison,Email,3
T0151,C034,2024-11-30,520.00,Electronique,Web,4
T0152,C034,2024-10-14,380.00,Electronique,Web,5
T0153,C034,2024-08-28,650.00,Electronique,Web,4
T0154,C035,2024-10-18,148.00,Mode,Web,4
T0155,C035,2024-08-02,112.00,Mode,Web,5
T0156,C035,2024-06-15,188.00,Beauté,Web,4
T0157,C035,2024-04-28,95.00,Mode,Web,4
T0158,C036,2023-06-20,175.00,Alimentaire,Magasin,3
T0159,C036,2022-12-08,148.00,Alimentaire,Magasin,4
T0160,C036,2022-06-22,192.00,Alimentaire,Magasin,3
T0161,C037,2024-11-28,88.00,Beauté,Web,5
T0162,C037,2024-10-12,65.00,Beauté,Web,4
T0163,C037,2024-08-26,102.00,Mode,Web,5
T0164,C037,2024-07-10,78.00,Beauté,Web,4
T0165,C037,2024-05-24,95.00,Mode,Web,5
T0166,C038,2024-06-05,520.00,Sport,Magasin,4
T0167,C038,2023-12-18,380.00,Sport,Magasin,3
T0168,C038,2023-06-08,610.00,Sport,Magasin,4
T0169,C038,2022-12-22,295.00,Sport,Magasin,3
T0170,C039,2024-11-15,135.00,Mode,Web,4
T0171,C039,2024-09-28,98.00,Mode,Web,5
T0172,C039,2024-08-12,168.00,Beauté,Web,4
T0173,C039,2024-06-25,112.00,Mode,Web,5
T0174,C040,2024-11-28,850.00,Electronique,Web,4
T0175,C040,2024-09-12,420.00,Electronique,Web,5
T0176,C040,2024-07-26,1150.00,Electronique,Web,4
T0177,C041,2020-08-15,125.00,Alimentaire,Magasin,3
T0178,C041,2020-02-10,98.00,Alimentaire,Magasin,4
T0179,C041,2019-09-22,142.00,Alimentaire,Magasin,3
T0180,C042,2024-11-20,245.00,Sport,Web,4
T0181,C042,2024-09-04,185.00,Sport,Web,5
T0182,C042,2024-07-18,310.00,Sport,Web,4
T0183,C042,2024-05-02,198.00,Sport,Web,4
T0184,C043,2024-06-08,680.00,Maison,Email,3
T0185,C043,2023-11-22,520.00,Maison,Email,4
T0186,C043,2023-05-05,750.00,Maison,Email,3
T0187,C044,2024-11-25,580.00,Electronique,Web,4
T0188,C044,2024-10-08,340.00,Electronique,Web,5
T0189,C044,2024-08-22,720.00,Electronique,Web,4
T0190,C044,2024-07-05,280.00,Electronique,Web,4
T0191,C045,2024-10-22,215.00,Beauté,Web,5
T0192,C045,2024-07-15,178.00,Beauté,Web,4
T0193,C045,2024-04-08,248.00,Beauté,Web,5
T0194,C045,2024-01-20,195.00,Beauté,Web,4
T0195,C046,2024-09-18,345.00,Sport,Magasin,4
T0196,C046,2024-05-22,268.00,Sport,Magasin,3
T0197,C046,2024-02-05,412.00,Sport,Magasin,4
T0198,C047,2024-12-03,58.00,Mode,Web,5
T0199,C047,2024-11-20,42.00,Mode,Web,5
T0200,C047,2024-10-15,75.00,Beauté,Web,4
T0201,C048,2021-10-12,185.00,Alimentaire,Magasin,3
T0202,C048,2021-04-05,152.00,Alimentaire,Magasin,4
T0203,C048,2020-10-18,198.00,Alimentaire,Magasin,3
T0204,C049,2024-11-15,118.00,Beauté,Web,5
T0205,C049,2024-09-28,92.00,Beauté,Web,4
T0206,C049,2024-08-12,145.00,Mode,Web,5
T0207,C049,2024-06-25,78.00,Beauté,Web,4
T0208,C049,2024-05-10,125.00,Mode,Web,5
T0209,C050,2024-07-08,980.00,Electronique,Web,4
T0210,C050,2024-02-22,650.00,Electronique,Web,3
T0211,C050,2023-09-15,1200.00,Electronique,Web,4
T0212,C051,2019-05-20,145.00,Alimentaire,Magasin,3
T0213,C051,2018-11-08,118.00,Alimentaire,Magasin,4
T0214,C052,2024-11-22,680.00,Electronique,Web,4
T0215,C052,2024-10-05,420.00,Electronique,Web,5
T0216,C052,2024-08-18,850.00,Electronique,Web,4
T0217,C053,2024-10-28,132.00,Mode,Web,4
T0218,C053,2024-09-10,98.00,Mode,Web,5
T0219,C053,2024-07-24,168.00,Beauté,Web,4
T0220,C053,2024-06-08,112.00,Mode,Web,5
T0221,C054,2024-08-25,520.00,Sport,Magasin,4
T0222,C054,2024-04-10,385.00,Sport,Magasin,3
T0223,C054,2023-11-22,610.00,Sport,Magasin,4
T0224,C055,2024-12-01,65.00,Beauté,Web,5
T0225,C055,2024-11-12,48.00,Beauté,Web,5
T0226,C055,2024-10-25,82.00,Mode,Web,4
T0227,C055,2024-09-18,55.00,Beauté,Web,5
T0228,C056,2024-07-15,680.00,Maison,Email,3
T0229,C056,2023-12-28,520.00,Maison,Email,4
T0230,C056,2023-06-10,780.00,Maison,Email,3
T0231,C057,2024-11-25,118.00,Mode,Web,4
T0232,C057,2024-10-08,92.00,Mode,Web,5
T0233,C057,2024-08-22,145.00,Beauté,Web,4
T0234,C057,2024-07-06,78.00,Mode,Web,5
T0235,C057,2024-05-20,125.00,Beauté,Web,4
T0236,C058,2022-11-18,178.00,Alimentaire,Magasin,3
T0237,C058,2022-05-05,145.00,Alimentaire,Magasin,4
T0238,C058,2021-11-20,198.00,Alimentaire,Magasin,3
T0239,C059,2024-09-20,415.00,Maison,Web,4
T0240,C059,2024-05-08,328.00,Maison,Web,3
T0241,C059,2024-01-22,485.00,Maison,Web,4
T0242,C060,2024-10-15,285.00,Sport,Web,4
T0243,C060,2024-07-28,215.00,Sport,Web,5
T0244,C060,2024-05-12,348.00,Sport,Web,4
T0245,C060,2024-02-25,192.00,Sport,Web,4
T0246,C061,2024-11-28,145.00,Beauté,Web,5
T0247,C061,2024-10-12,118.00,Beauté,Web,4
T0248,C061,2024-08-26,168.00,Mode,Web,5
T0249,C061,2024-07-10,92.00,Beauté,Web,4
T0250,C061,2024-05-24,138.00,Mode,Web,5
T0251,C062,2024-07-22,980.00,Electronique,Email,3
T0252,C062,2024-02-05,720.00,Electronique,Email,4
T0253,C062,2023-08-18,1150.00,Electronique,Email,3
T0254,C063,2024-11-25,88.00,Mode,Web,5
T0255,C063,2024-10-08,65.00,Mode,Web,4
T0256,C063,2024-08-22,108.00,Beauté,Web,5
T0257,C063,2024-06-05,78.00,Mode,Web,4
T0258,C064,2024-05-18,580.00,Sport,Magasin,4
T0259,C064,2023-11-02,420.00,Sport,Magasin,3
T0260,C064,2023-04-15,650.00,Sport,Magasin,4
T0261,C065,2024-09-12,385.00,Maison,Web,4
T0262,C065,2024-05-25,298.00,Maison,Web,3
T0263,C065,2024-02-08,450.00,Maison,Web,4
T0264,C066,2022-07-22,188.00,Alimentaire,Email,3
T0265,C066,2022-01-08,155.00,Alimentaire,Email,4
T0266,C066,2021-07-25,212.00,Alimentaire,Email,3
T0267,C067,2024-11-30,98.00,Mode,Web,5
T0268,C067,2024-10-14,75.00,Mode,Web,4
T0269,C067,2024-08-28,122.00,Beauté,Web,5
T0270,C067,2024-07-12,85.00,Mode,Web,4
T0271,C068,2024-06-28,850.00,Electronique,Magasin,3
T0272,C068,2024-01-12,620.00,Electronique,Magasin,4
T0273,C068,2023-07-25,1050.00,Electronique,Magasin,3
T0274,C069,2024-12-03,72.00,Beauté,Web,5
T0275,C069,2024-11-18,55.00,Beauté,Web,5
T0276,C069,2024-10-02,88.00,Mode,Web,4
T0277,C070,2019-12-15,215.00,Alimentaire,Magasin,3
T0278,C070,2019-06-02,178.00,Alimentaire,Magasin,4
T0279,C071,2024-11-10,158.00,Mode,Web,5
T0280,C071,2024-09-22,122.00,Mode,Web,4
T0281,C071,2024-08-05,185.00,Beauté,Web,5
T0282,C071,2024-06-18,98.00,Mode,Web,4
T0283,C071,2024-05-02,142.00,Beauté,Web,5
T0284,C072,2024-10-25,298.00,Sport,Web,4
T0285,C072,2024-07-08,225.00,Sport,Web,5
T0286,C072,2024-04-22,365.00,Sport,Web,4
T0287,C072,2024-01-05,198.00,Sport,Web,4
T0288,C073,2020-09-18,165.00,Alimentaire,Magasin,3
T0289,C073,2020-03-05,138.00,Alimentaire,Magasin,4
T0290,C074,2024-11-28,750.00,Electronique,Web,4
T0291,C074,2024-10-12,520.00,Electronique,Web,5
T0292,C074,2024-08-26,920.00,Electronique,Web,4
T0293,C075,2024-11-20,178.00,Beauté,Web,5
T0294,C075,2024-09-05,145.00,Beauté,Web,4
T0295,C075,2024-07-20,212.00,Beauté,Web,5
T0296,C075,2024-06-04,155.00,Beauté,Web,4
T0297,C076,2024-06-15,620.00,Maison,Email,3
T0298,C076,2023-12-28,480.00,Maison,Email,4
T0299,C076,2023-07-10,720.00,Maison,Email,3
T0300,C077,2024-11-28,108.00,Mode,Web,5
T0301,C077,2024-10-12,82.00,Mode,Web,4
T0302,C077,2024-08-26,135.00,Beauté,Web,5
T0303,C077,2024-07-10,68.00,Mode,Web,4
T0304,C078,2024-07-05,620.00,Sport,Magasin,4
T0305,C078,2024-01-18,450.00,Sport,Magasin,3
T0306,C078,2023-07-02,720.00,Sport,Magasin,4
T0307,C078,2023-01-15,385.00,Sport,Magasin,3
T0308,C079,2024-12-02,65.00,Mode,Web,5
T0309,C079,2024-11-18,48.00,Mode,Web,5
T0310,C079,2024-10-05,88.00,Beauté,Web,4
T0311,C080,2024-08-12,1150.00,Electronique,Magasin,4
T0312,C080,2024-03-25,780.00,Electronique,Magasin,3
T0313,C080,2023-10-08,1320.00,Electronique,Magasin,4
